language,period,stars,forks,issues,commits
C++,past,80638.65,17792.1,2451.35,64.6
C++,recent,80638.65,17792.1,2451.35,71.4
Go,past,85362.3,9589.75,1245.0,44.65
Go,recent,85362.3,9589.75,1245.0,38.35
JavaScript,past,110386.75,21401.95,837.3,37.65
JavaScript,recent,110386.75,21401.95,837.3,35.65
Python,past,176058.25,25597.2,1908.75,28.35
Python,recent,176058.25,25597.2,1908.75,50.55
TypeScript,past,145061.05,21224.8,1742.85,63.5
TypeScript,recent,145061.05,21224.8,1742.85,69.0
